华为（HUAWEI）,华为 HUAWEI nova 3i 全面屏高清四摄游戏手机4GB+128GB 亮黑色 全网通移动联通电信4G手机双卡双待,8485229,1999.0,1999.00
小米（MI）,小米 红米6A AI美颜 3GB+32GB 樱花粉 全网通4G手机 双卡双待,8264405,699.0,699.00
Apple,Apple iPhone 8 (A1863) 256GB 银色 移动联通电信4G手机,5475614,5999.0,5999.00
华为（HUAWEI）,华为 HUAWEI nova 3i 全面屏高清四摄游戏手机4GB+128GB 蓝楹紫 全网通移动联通电信4G手机双卡双待,8524965,1999.0,1999.00
小米（MI）,小米 红米6A  AI美颜 3GB+32GB 铂银灰 全网通4G手机 双卡双待,8264407,699.0,699.00
小米（MI）,小米8SE 全面屏智能手机 6GB+64GB 蓝色 全网通4G 双卡双待,7437752,1899.0,1999.00
Apple,Apple iPhone 8 256GB 红色特别版 移动联通电信4G手机,6784496,6099.0,6199.00
Apple,Apple iPhone 6s Plus (A1699) 128G 银色 移动联通电信4G手机,1861100,3590.0,3599.00
Apple,Apple iPhone 7 (A1660) 128G 亮黑色 移动联通电信4G手机,3133829,4399.0,4599.00
Apple,Apple iPhone 7 Plus (A1661) 32G 亮黑色 移动联通电信4G手机,5110517,4599.0,4699.00
华为（HUAWEI）,荣耀10 GT游戏加速 AIS手持夜景 6GB+128GB  幻夜黑 全网通 移动联通电信4G 双卡双待,7134314,2798.0,2799.00
华为（HUAWEI）,荣耀 V10 高配版 6GB+64GB 魅丽红 移动联通电信4G全面屏游戏手机 双卡双待,5924266,2299.0,2199.00
小米（MI）,小米 红米6A 全网通版 2GB内存 巴厘蓝 16GB 移动联通电信4G手机 双卡双待 拍照手机,7652135,549.0,549.00
vivo,vivo NEX 零界全面屏AI双摄游戏手机 8GB+128GB 星钻黑 移动联通电信全网通4G手机 双卡双待,7428766,3998.0,4498.00
Apple,Apple iPhone 7 Plus (A1661) 128G 银色 移动联通电信4G手机,3133855,5299.0,5599.00
Apple,Apple iPhone 7 (A1660) 32G 金色 移动联通电信4G手机,3133811,3699.0,3799.00
Apple,Apple iPhone 7 (A1660) 32G 亮黑色 移动联通电信4G手机,5110519,3599.0,3799.00
Apple,Apple iPhone 7 (A1660) 128G 黑色 移动联通电信4G手机,3133827,4499.0,4599.00
Apple,Apple iPhone 7 Plus (A1661) 128G 黑色 移动联通电信4G手机,3133857,5499.0,5599.00
Apple,Apple iPhone 7 (A1660) 128G 金色 移动联通电信4G手机,3133821,4399.0,4599.00
Apple,Apple iPhone 7 (A1660) 32G 玫瑰金色 移动联通电信4G手机,3133813,3599.0,3799.00
